,anxiety,boredom,cold anger,contempt,disgust,dominant,despair,elation,hot anger,happy,interest,neutral,panic,pride,passive,shame,sadness
anxiety,13,0,1,0,2,0,3,0,0,0,0,7,0,7,0,3,0
boredom,1,12,1,0,0,0,2,0,0,1,2,6,0,0,0,2,2
cold anger,1,0,12,3,0,0,1,3,1,1,2,2,0,2,2,0,0
contempt,0,1,1,14,0,2,6,0,0,2,1,5,0,2,0,2,3
disgust,2,2,0,1,10,0,4,1,0,0,2,7,0,6,0,0,0
dominant,1,1,1,1,2,26,3,1,0,1,0,4,0,1,0,0,1
despair,0,1,7,3,0,3,68,0,0,1,0,2,0,8,0,0,0
elation,0,0,0,1,1,1,4,11,0,0,2,2,0,1,1,0,1
hot anger,0,0,2,2,1,0,5,3,10,1,2,1,1,3,3,1,0
happy,0,0,1,0,0,0,4,1,2,25,0,2,2,0,0,0,0
interest,1,1,1,1,0,0,3,0,0,0,9,4,1,8,1,0,1
neutral,0,1,1,1,1,1,8,2,0,1,3,233,1,16,1,1,4
panic,0,0,2,0,1,0,0,1,1,5,0,3,17,1,1,0,0
pride,0,1,1,2,3,0,6,1,1,0,1,14,0,62,0,0,0
passive,1,1,0,2,1,0,3,1,1,2,1,2,0,3,5,0,0
shame,1,0,0,0,1,1,0,1,0,1,0,4,0,2,0,13,3
sadness,0,2,0,0,2,1,0,2,0,0,1,8,0,4,0,0,8
