,anxiety,boredom,cold anger,contempt,disgust,dominant,despair,elation,hot anger,happy,interest,neutral,panic,pride,passive,shame,sadness
anxiety,22,0,2,0,0,0,1,1,0,1,0,2,0,2,0,0,0
boredom,1,14,2,2,2,0,1,0,0,0,0,4,0,0,2,1,1
cold anger,2,0,9,1,0,0,4,1,2,3,0,2,0,0,2,1,0
contempt,2,0,1,18,1,0,8,0,2,0,0,3,0,1,0,0,0
disgust,2,3,4,1,10,1,1,1,0,2,0,1,3,6,0,0,0
dominant,2,0,2,1,1,15,1,1,3,1,0,3,0,2,1,1,0
despair,4,0,5,8,0,0,64,1,2,3,0,8,0,0,1,0,0
elation,0,0,0,4,2,1,4,11,0,2,0,2,1,0,0,0,0
hot anger,0,0,0,0,1,0,1,2,10,3,1,1,0,0,0,0,1
happy,0,0,1,1,0,0,5,3,0,22,0,8,0,0,1,0,0
interest,2,0,4,2,3,1,1,0,1,0,8,9,0,1,1,1,2
neutral,4,2,5,4,4,0,13,1,1,5,0,236,0,7,4,4,0
panic,1,0,2,0,0,0,2,0,2,2,1,3,14,0,1,0,0
pride,4,0,7,1,1,0,11,1,1,1,1,12,0,41,2,0,3
passive,0,1,1,5,2,0,3,0,2,1,1,4,1,3,10,0,0
shame,1,0,0,1,1,0,1,0,0,0,1,4,0,1,0,11,2
sadness,1,6,0,4,0,1,1,0,1,0,0,9,0,2,0,3,7
